Date,1Y,5Y,10Y,30Y
2014-12-08,29.45,10.91,29.58,28.94
2014-12-09,29.59,10.92,29.72,29.07
2014-12-10,29.59,10.82,29.72,29.07
2014-12-11,28.3,10.83,28.41,27.82
2014-12-12,28.05,10.74,28.16,27.57
2014-12-15,27.75,10.67,27.86,27.28
2014-12-16,27.72,10.63,27.83,27.25
2014-12-17,28.35,10.74,28.46,27.87
2014-12-18,28.58,10.9,28.7,28.09
2014-12-19,28.59,NA,28.7,28.1
2014-12-22,29.06,10.95,29.18,28.56
2014-12-23,28.96,10.71,29.08,28.47
2014-12-24,28.86,10.72,28.97,28.36
2014-12-26,28.97,10.74,29.08,28.47
2014-12-29,29.05,10.75,29.16,28.55
2014-12-30,28.98,10.72,29.09,28.48
2014-12-31,28.52,10.67,28.63,28.03
2015-01-02,28.92,10.67,29.03,28.43
2015-01-05,29.05,10.56,29.16,28.55
2015-01-06,29.31,10.51,29.42,28.81
2015-01-07,29.74,10.57,29.86,29.23
2015-01-08,29.88,10.67,30,29.37
2015-01-09,29.91,10.64,30.02,29.39
2015-01-12,30.14,10.6,30.25,29.61
2015-01-13,30.07,10.59,30.19,29.55
2015-01-14,30.32,10.56,30.44,29.8
2015-01-15,30.4,10.53,30.51,29.87
2015-01-16,30.67,10.59,30.8,30.14
2015-01-20,30.4,10.61,30.52,29.87
2015-01-21,30.4,10.64,30.52,29.88
2015-01-22,30.95,10.7,31.07,30.41
2015-01-23,30.87,10.7,30.99,30.33
2015-01-26,31.12,10.73,31.25,30.58
2015-01-27,31.1,10.68,31.23,30.56
2015-01-28,30.9,10.61,31.03,30.36
2015-01-29,30.99,10.66,31.11,30.45
2015-01-30,30.3,10.6,30.42,29.77
2015-02-02,30.24,10.65,30.37,29.71
2015-02-03,30.53,10.74,30.66,30
2015-02-04,30.45,10.72,30.58,29.92
2015-02-05,30.84,10.78,30.97,30.3
2015-02-06,29.98,10.74,30.1,29.45
2015-02-09,29.81,10.71,29.93,29.28
